date,launch_location,Status Mission,launch_status,time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,cloudcover,pressure_msl
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T00:00,24.9,94,0.0,4.0,7.2,360,93,1019.9
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T01:00,25.1,93,0.0,4.3,4.7,24,92,1019.7
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T02:00,25.1,94,0.0,5.1,6.1,51,87,1019.3
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T03:00,24.9,94,0.0,6.2,7.2,111,86,1018.9
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T04:00,25.8,92,0.0,5.4,8.3,138,99,1018.4
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T05:00,26.3,91,0.0,7.7,13.0,152,88,1018.0
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T06:00,26.1,92,0.0,7.3,13.3,171,39,1018.0
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T07:00,25.7,93,0.0,6.5,12.6,183,26,1018.3
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T08:00,27.0,93,0.0,7.6,13.0,175,37,1018.9
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T09:00,28.1,87,0.0,9.0,18.7,180,18,1019.2
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T10:00,28.9,80,0.1,9.1,20.2,187,30,1019.3
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T11:00,29.7,74,0.1,7.2,20.2,186,68,1019.3
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T12:00,30.4,69,0.0,4.0,18.4,185,91,1019.1
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T13:00,31.0,67,0.0,4.3,17.6,132,70,1018.8
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T14:00,30.8,72,0.0,8.2,24.1,105,19,1018.0
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T15:00,30.0,77,1.0,11.5,28.4,110,56,1017.6
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T16:00,29.9,72,0.0,10.7,25.9,132,30,1016.9
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T17:00,29.7,73,0.0,9.8,23.4,118,23,1016.6
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T18:00,29.4,76,0.0,11.7,22.7,124,23,1016.4
